Time (LCLG),Azimuth (deg),Elevation (deg),Range (km),EIRP (dBW),Xmtr Power (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),UrbanTerres Loss (dB),Rain Loss (dB),CloudsFog Loss (dB),TropoScintill Loss (dB),IonoFading Loss (dB),Freq. Doppler Shift (GHz),Tearth (K),Propagation Delay (sec),Propagation Distance (km),Rcvd. Iso. Power (dBW),C/N (dB),C/No (dB*MHz),Carrier Power at Rcvr Input (dBW),Rcvr Gain (dB),Eb/No (dB),Tatmos (K),TUrbanTerres (K),Train (K),TcloudsFog (K),TtropoScintill (K),TionoFading (K),
24/6/2020 12:18:20,269.079,5,2092.597131,-528.469,30,-558.4686,-539.460738,0.3663,0,0.0024,0.0029,0.9853,0.9734,0,0,0.007,2092.597131,-697.265,-545.7628,-530.711291,-671.85,25.4146,-542.7525,19.107,0,0.15,0.183,55.445,407.251,
24/6/2020 12:18:21,269.082,5.048,2088.404155,-528.293,30,-558.2934,-539.285499,0.3633,0,0.0024,0.0029,0.9741,0.9729,0,0,0.007,2088.404155,-697.057,-545.5487,-530.497248,-671.643,25.4146,-542.5384,18.954,0,0.149,0.181,54.882,407.122,
24/6/2020 12:18:22,269.086,5.124,2081.760992,-528.012,30,-558.0116,-539.003736,0.3587,0,0.0023,0.0028,0.9568,0.9721,0,0,0.007,2081.760992,-696.725,-545.206,-530.154519,-671.31,25.4146,-542.1957,18.716,0,0.147,0.179,54.009,406.912,
24/6/2020 12:18:23,269.09,5.201,2075.118627,-527.725,30,-557.7248,-538.716911,0.3541,0,0.0023,0.0028,0.9399,0.9712,0,0,0.007,2075.118627,-696.388,-544.8588,-529.807342,-670.973,25.4146,-541.8485,18.483,0,0.145,0.176,53.158,406.694,
24/6/2020 12:18:24,269.094,5.278,2068.477073,-527.433,30,-557.4329,-538.42498,0.3496,0,0.0023,0.0028,0.9236,0.9703,0,0,0.007,2068.477073,-696.046,-544.5072,-529.455651,-670.632,25.4146,-541.4969,18.255,0,0.143,0.174,52.327,406.47,
24/6/2020 12:18:25,269.098,5.355,2061.836346,-527.136,30,-557.1358,-538.127897,0.3452,0,0.0023,0.0027,0.9076,0.9694,0,0,0.007,2061.836346,-695.7,-544.1509,-529.099358,-670.286,25.4146,-541.1406,18.031,0,0.142,0.172,51.516,406.238,
24/6/2020 12:18:26,269.102,5.432,2055.196461,-526.834,30,-556.8335,-537.825617,0.3409,0,0.0022,0.0027,0.8922,0.9685,0,0,0.007,2055.196461,-695.349,-543.7899,-528.738386,-669.934,25.4146,-540.7796,17.811,0,0.14,0.17,50.725,405.998,
24/6/2020 12:18:27,269.106,5.51,2048.557434,-526.526,30,-556.526,-537.518092,0.3367,0,0.0022,0.0027,0.8771,0.9675,0,0,0.007,2048.557434,-694.993,-543.4242,-528.372675,-669.579,25.4146,-540.4139,17.596,0,0.138,0.167,49.952,405.751,
24/6/2020 12:18:28,269.11,5.588,2041.919281,-526.213,30,-556.2132,-537.205276,0.3325,0,0.0022,0.0026,0.8625,0.9666,0,0,0.007,2041.919281,-694.632,-543.0536,-528.002149,-669.218,25.4146,-540.0433,17.384,0,0.136,0.165,49.198,405.496,
24/6/2020 12:18:29,269.114,5.666,2035.282017,-525.895,30,-555.895,-536.887122,0.3285,0,0.0021,0.0026,0.8482,0.9656,0,0,0.007,2035.282017,-694.267,-542.6782,-527.626728,-668.852,25.4146,-539.6679,17.177,0,0.135,0.163,48.461,405.233,
24/6/2020 12:18:30,269.118,5.745,2028.645659,-525.571,30,-555.5715,-536.56358,0.3245,0,0.0021,0.0026,0.8343,0.9646,0,0,0.007,2028.645659,-693.896,-542.2979,-527.246362,-668.481,25.4146,-539.2876,16.973,0,0.133,0.161,47.741,404.963,
24/6/2020 12:18:31,269.122,5.824,2022.010222,-525.243,30,-555.2425,-536.234604,0.3206,0,0.0021,0.0025,0.8208,0.9636,0,0,0.007,2022.010222,-693.52,-541.9125,-526.860965,-668.105,25.4146,-538.9022,16.773,0,0.131,0.159,47.038,404.686,
24/6/2020 12:18:32,269.126,5.903,2015.375724,-524.908,30,-554.908,-535.900143,0.3167,0,0.0021,0.0025,0.8076,0.9626,0,0,0.007,2015.375724,-693.139,-541.522,-526.470467,-667.724,25.4146,-538.5117,16.577,0,0.13,0.157,46.35,404.4,
24/6/2020 12:18:33,269.131,5.983,2008.74218,-524.568,30,-554.568,-535.560148,0.313,0,0.002,0.0025,0.7947,0.9615,0,0,0.007,2008.74218,-692.752,-541.1263,-526.07481,-667.338,25.4146,-538.116,16.384,0,0.128,0.155,45.678,404.108,
24/6/2020 12:18:34,269.135,6.063,2002.109607,-524.222,30,-554.2225,-535.214569,0.3093,0,0.002,0.0024,0.7822,0.9604,0,0,0.007,2002.109607,-692.361,-540.7254,-525.673918,-666.946,25.4146,-537.7151,16.195,0,0.127,0.154,45.02,403.808,
24/6/2020 12:18:35,269.139,6.143,1995.478023,-523.871,30,-553.8713,-534.863355,0.3057,0,0.002,0.0024,0.77,0.9593,0,0,0.007,1995.478023,-691.964,-540.3192,-525.267709,-666.549,25.4146,-537.3089,16.009,0,0.125,0.152,44.377,403.498,
24/6/2020 12:18:36,269.143,6.224,1988.847445,-523.514,30,-553.5144,-534.506455,0.3021,0,0.002,0.0024,0.758,0.9582,0,0,0.007,1988.847445,-691.561,-539.9076,-524.856134,-666.146,25.4146,-536.8973,15.827,0,0.124,0.15,43.748,403.182,
24/6/2020 12:18:37,269.147,6.305,1982.217889,-523.152,30,-553.1517,-534.143816,0.2986,0,0.0019,0.0024,0.7464,0.9571,0,0,0.007,1982.217889,-691.153,-539.4906,-524.439127,-665.739,25.4146,-536.4803,15.647,0,0.122,0.148,43.132,402.859,
24/6/2020 12:18:38,269.151,6.386,1975.589374,-522.783,30,-552.7833,-533.775388,0.2952,0,0.0019,0.0023,0.735,0.956,0,0,0.007,1975.589374,-690.74,-539.0681,-524.016599,-665.325,25.4146,-536.0578,15.471,0,0.121,0.146,42.53,402.527,
24/6/2020 12:18:39,269.156,6.468,1968.961918,-522.409,30,-552.409,-533.401116,0.2918,0,0.0019,0.0023,0.7239,0.9548,0,0,0.007,1968.961918,-690.321,-538.64,-523.588491,-664.906,25.4146,-535.6297,15.298,0,0.12,0.145,41.94,402.188,
24/6/2020 12:18:40,269.16,6.55,1962.335538,-522.029,30,-552.0288,-533.020947,0.2885,0,0.0019,0.0023,0.7131,0.9536,0,0,0.007,1962.335538,-689.896,-538.2062,-523.154738,-664.481,25.4146,-535.1959,15.128,0,0.118,0.143,41.362,401.841,
24/6/2020 12:18:41,269.164,6.632,1955.710252,-521.643,30,-551.6427,-532.634826,0.2852,0,0.0019,0.0022,0.7025,0.9524,0,0,0.007,1955.710252,-689.465,-537.7668,-522.715264,-664.05,25.4146,-534.7565,14.96,0,0.117,0.141,40.797,401.485,
24/6/2020 12:18:42,269.168,6.715,1949.08608,-521.251,30,-551.2506,-532.2427,0.282,0,0.0018,0.0022,0.6922,0.9512,0,0,0.007,1949.08608,-689.029,-537.3215,-522.270017,-663.614,25.4146,-534.3112,14.796,0,0.116,0.14,40.243,401.123,
24/6/2020 12:18:43,269.173,6.798,1942.463039,-520.852,30,-550.8524,-531.844512,0.2789,0,0.0018,0.0022,0.6821,0.9499,0,0,0.006,1942.463039,-688.586,-536.8704,-521.818874,-663.172,25.4146,-533.8601,14.634,0,0.115,0.138,39.7,400.749,
24/6/2020 12:18:44,269.177,6.882,1935.841149,-520.448,30,-550.4481,-531.440206,0.2758,0,0.0018,0.0022,0.6722,0.9487,0,0,0.006,1935.841149,-688.138,-536.4134,-521.361852,-662.724,25.4146,-533.4031,14.475,0,0.113,0.137,39.168,400.371,
24/6/2020 12:18:45,269.181,6.965,1929.220429,-520.038,30,-550.0376,-531.029727,0.2728,0,0.0018,0.0021,0.6625,0.9474,0,0,0.006,1929.220429,-687.684,-535.9503,-520.89883,-662.269,25.4146,-532.94,14.319,0,0.112,0.135,38.647,399.984,
24/6/2020 12:18:46,269.185,7.05,1922.600898,-519.621,30,-549.6209,-530.613015,0.2698,0,0.0018,0.0021,0.6531,0.9461,0,0,0.006,1922.600898,-687.224,-535.4813,-520.429754,-661.809,25.4146,-532.471,14.165,0,0.111,0.134,38.136,399.59,
24/6/2020 12:18:47,269.19,7.134,1915.982576,-519.198,30,-549.1979,-530.190014,0.2669,0,0.0017,0.0021,0.6438,0.9448,0,0,0.006,1915.982576,-686.757,-535.0061,-519.954551,-661.342,25.4146,-531.9958,14.014,0,0.11,0.132,37.636,399.188,
24/6/2020 12:18:48,269.194,7.219,1909.365483,-518.769,30,-548.7686,-529.760665,0.264,0,0.0017,0.0021,0.6348,0.9434,0,0,0.006,1909.365483,-686.284,-534.5246,-519.473142,-660.87,25.4146,-531.5143,13.865,0,0.109,0.131,37.145,398.778,
24/6/2020 12:18:49,269.198,7.305,1902.749638,-518.333,30,-548.3328,-529.324908,0.2611,0,0.0017,0.0021,0.6259,0.9421,0,0,0.006,1902.749638,-685.805,-534.037,-518.985474,-660.391,25.4146,-531.0267,13.719,0,0.108,0.129,36.663,398.361,
24/6/2020 12:18:50,269.203,7.39,1896.135062,-517.891,30,-547.8906,-528.882684,0.2584,0,0.0017,0.002,0.6173,0.9407,0,0,0.006,1896.135062,-685.32,-533.543,-518.491455,-659.905,25.4146,-530.5327,13.574,0,0.107,0.128,36.19,397.934,
24/6/2020 12:18:51,269.207,7.476,1889.521776,-517.442,30,-547.4418,-528.433932,0.2556,0,0.0017,0.002,0.6088,0.9393,0,0,0.006,1889.521776,-684.828,-533.0425,-517.991043,-659.414,25.4146,-530.0322,13.433,0,0.105,0.126,35.727,397.502,
24/6/2020 12:18:52,269.212,7.563,1882.909801,-516.986,30,-546.9865,-527.97859,0.2529,0,0.0017,0.002,0.6005,0.9379,0,0,0.006,1882.909801,-684.33,-532.5356,-517.484143,-658.915,25.4146,-529.5253,13.293,0,0.104,0.125,35.272,397.06,
24/6/2020 12:18:53,269.216,7.65,1876.299157,-516.524,30,-546.5245,-527.516596,0.2503,0,0.0016,0.002,0.5923,0.9364,0,0,0.006,1876.299157,-683.825,-532.0222,-516.970692,-658.411,25.4146,-529.0119,13.155,0,0.103,0.124,34.826,396.611,
24/6/2020 12:18:54,269.22,7.737,1869.689867,-516.056,30,-546.0558,-527.047889,0.2476,0,0.0016,0.0019,0.5844,0.935,0,0,0.006,1869.689867,-683.314,-531.5021,-516.450621,-657.899,25.4146,-528.4918,13.02,0,0.102,0.122,34.388,396.154,
