Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.08,5,67.81,37.8102,56.818112,0.6503,0.4625,0.0499
269.082,5.048,67.81,37.8102,56.818112,0.6448,0.4587,0.0495
269.086,5.124,67.81,37.8102,56.818112,0.6362,0.4528,0.0488
269.09,5.201,67.81,37.8102,56.818112,0.6278,0.447,0.0482
269.094,5.278,67.81,37.8102,56.818112,0.6196,0.4413,0.0476
269.098,5.355,67.81,37.8102,56.818112,0.6116,0.4358,0.047
269.102,5.432,67.81,37.8102,56.818112,0.6037,0.4304,0.0464
269.106,5.51,67.81,37.8102,56.818112,0.596,0.4252,0.0458
269.11,5.588,67.81,37.8102,56.818112,0.5884,0.4201,0.0452
269.114,5.666,67.81,37.8102,56.818112,0.5811,0.4151,0.0446
269.118,5.745,67.81,37.8102,56.818112,0.5738,0.4102,0.0441
269.122,5.824,67.81,37.8102,56.818112,0.5667,0.4054,0.0436
269.126,5.903,67.81,37.8102,56.818112,0.5597,0.4007,0.043
269.131,5.983,67.81,37.8102,56.818112,0.5529,0.3961,0.0425
269.135,6.063,67.81,37.8102,56.818112,0.5462,0.3917,0.042
269.139,6.143,67.81,37.8102,56.818112,0.5397,0.3873,0.0415
269.143,6.224,67.81,37.8102,56.818112,0.5332,0.383,0.041
269.147,6.305,67.81,37.8102,56.818112,0.5269,0.3788,0.0405
269.151,6.386,67.81,37.8102,56.818112,0.5207,0.3747,0.04
269.156,6.468,67.81,37.8102,56.818112,0.5146,0.3707,0.0396
269.16,6.55,67.81,37.8102,56.818112,0.5087,0.3667,0.0391
269.164,6.632,67.81,37.8102,56.818112,0.5028,0.3628,0.0387
269.168,6.715,67.81,37.8102,56.818112,0.4971,0.359,0.0382
269.173,6.798,67.81,37.8102,56.818112,0.4914,0.3553,0.0378
269.177,6.882,67.81,37.8102,56.818112,0.4859,0.3516,0.0374
269.181,6.965,67.81,37.8102,56.818112,0.4804,0.348,0.0369
269.185,7.05,67.81,37.8102,56.818112,0.475,0.3445,0.0365
269.19,7.134,67.81,37.8102,56.818112,0.4698,0.341,0.0361
269.194,7.219,67.81,37.8102,56.818112,0.4646,0.3376,0.0357
269.198,7.305,67.81,37.8102,56.818112,0.4595,0.3343,0.0353
269.203,7.39,67.81,37.8102,56.818112,0.4545,0.331,0.035
269.207,7.476,67.81,37.8102,56.818112,0.4496,0.3277,0.0346
269.212,7.563,67.81,37.8102,56.818112,0.4448,0.3245,0.0342
269.216,7.65,67.81,37.8102,56.818112,0.44,0.3214,0.0338
269.22,7.737,67.81,37.8102,56.818112,0.4354,0.3183,0.0335
269.225,7.825,67.81,37.8102,56.818112,0.4308,0.3153,0.0331
269.229,7.913,67.81,37.8102,56.818112,0.4262,0.3123,0.0328
269.234,8.001,67.81,37.8102,56.818112,0.4218,0.3093,0.0324
269.238,8.09,67.81,37.8102,56.818112,0.4174,0.3064,0.0321
269.243,8.18,67.81,37.8102,56.818112,0.4131,0.3036,0.0318
269.247,8.27,67.81,37.8102,56.818112,0.4088,0.3008,0.0314
269.252,8.36,67.81,37.8102,56.818112,0.4047,0.298,0.0311
269.256,8.45,67.81,37.8102,56.818112,0.4005,0.2952,0.0308
269.261,8.542,67.81,37.8102,56.818112,0.3965,0.2925,0.0305
269.266,8.633,67.81,37.8102,56.818112,0.3925,0.2899,0.0302
269.27,8.725,67.81,37.8102,56.818112,0.3886,0.2872,0.0299
269.275,8.818,67.81,37.8102,56.818112,0.3847,0.2846,0.0296
269.28,8.911,67.81,37.8102,56.818112,0.3809,0.2821,0.0293
269.284,9.004,67.81,37.8102,56.818112,0.3771,0.2795,0.029
269.289,9.098,67.81,37.8102,56.818112,0.3734,0.277,0.0287
269.294,9.192,67.81,37.8102,56.818112,0.3697,0.2746,0.0284
269.298,9.287,67.81,37.8102,56.818112,0.3661,0.2721,0.0282
269.303,9.382,67.81,37.8102,56.818112,0.3626,0.2697,0.0279
269.308,9.478,67.81,37.8102,56.818112,0.3591,0.2673,0.0276
269.313,9.574,67.81,37.8102,56.818112,0.3556,0.265,0.0274
269.318,9.671,67.81,37.8102,56.818112,0.3522,0.2626,0.0271
269.322,9.769,67.81,37.8102,56.818112,0.3489,0.2603,0.0268
269.327,9.866,67.81,37.8102,56.818112,0.3456,0.258,0.0266
269.332,9.965,67.81,37.8102,56.818112,0.3423,0.2558,0.0263
269.337,10.064,67.81,37.8102,56.818112,0.3391,0.2535,0.0261
269.342,10.163,67.81,37.8102,56.818112,0.3359,0.2513,0.0258
269.347,10.263,67.81,37.8102,56.818112,0.3328,0.2491,0.0256
269.352,10.364,67.81,37.8102,56.818112,0.3297,0.247,0.0254
269.357,10.465,67.81,37.8102,56.818112,0.3266,0.2448,0.0251
269.362,10.566,67.81,37.8102,56.818112,0.3236,0.2427,0.0249
269.367,10.668,67.81,37.8102,56.818112,0.3207,0.2406,0.0247
269.372,10.771,67.81,37.8102,56.818112,0.3177,0.2385,0.0244
269.377,10.875,67.81,37.8102,56.818112,0.3148,0.2364,0.0242
269.382,10.978,67.81,37.8102,56.818112,0.312,0.2343,0.024
269.388,11.083,67.81,37.8102,56.818112,0.3091,0.2323,0.0238
269.393,11.188,67.81,37.8102,56.818112,0.3064,0.2303,0.0236
269.398,11.294,67.81,37.8102,56.818112,0.3036,0.2283,0.0233
269.403,11.4,67.81,37.8102,56.818112,0.3009,0.2263,0.0231
269.408,11.507,67.81,37.8102,56.818112,0.2982,0.2243,0.0229
269.414,11.615,67.81,37.8102,56.818112,0.2955,0.2223,0.0227
269.419,11.723,67.81,37.8102,56.818112,0.2929,0.2204,0.0225
269.424,11.832,67.81,37.8102,56.818112,0.2903,0.2184,0.0223
269.43,11.941,67.81,37.8102,56.818112,0.2878,0.2165,0.0221
269.435,12.051,67.81,37.8102,56.818112,0.2852,0.2146,0.0219
269.441,12.162,67.81,37.8102,56.818112,0.2827,0.2127,0.0217
269.446,12.273,67.81,37.8102,56.818112,0.2803,0.2108,0.0216
269.451,12.386,67.81,37.8102,56.818112,0.2778,0.2089,0.0214
269.457,12.498,67.81,37.8102,56.818112,0.2754,0.2071,0.0212
269.463,12.612,67.81,37.8102,56.818112,0.273,0.2052,0.021
269.468,12.726,67.81,37.8102,56.818112,0.2707,0.2034,0.0208
269.474,12.841,67.81,37.8102,56.818112,0.2683,0.2015,0.0206
269.479,12.957,67.81,37.8102,56.818112,0.266,0.1997,0.0205
269.485,13.073,67.81,37.8102,56.818112,0.2637,0.1979,0.0203
269.491,13.19,67.81,37.8102,56.818112,0.2615,0.1961,0.0201
269.496,13.308,67.81,37.8102,56.818112,0.2593,0.1943,0.0199
269.502,13.427,67.81,37.8102,56.818112,0.2571,0.1925,0.0198
269.508,13.546,67.81,37.8102,56.818112,0.2549,0.1907,0.0196
269.514,13.667,67.81,37.8102,56.818112,0.2527,0.189,0.0194
269.52,13.788,67.81,37.8102,56.818112,0.2506,0.1872,0.0193
269.526,13.909,67.81,37.8102,56.818112,0.2485,0.1854,0.0191
269.532,14.032,67.81,37.8102,56.818112,0.2464,0.1837,0.0189
269.538,14.155,67.81,37.8102,56.818112,0.2443,0.1819,0.0188
269.544,14.28,67.81,37.8102,56.818112,0.2423,0.1802,0.0186
269.55,14.405,67.81,37.8102,56.818112,0.2402,0.1785,0.0185
269.556,14.531,67.81,37.8102,56.818112,0.2382,0.1767,0.0183
