Azimuth (deg),Elevation (deg),EIRP (dBW),Xmtr Gain (dB),Xmtr EIRP Intensity (dBW/Sterad),Atmos Loss (dB),Rain Loss (dB),CloudsFog Loss (dB)
269.08,5,81.435,51.435,70.442936,12.676,15.7866,0.9441
269.082,5.048,81.435,51.435,70.442936,12.5693,15.7099,0.9363
269.086,5.124,81.435,51.435,70.442936,12.4021,15.5894,0.924
269.09,5.201,81.435,51.435,70.442936,12.2386,15.4711,0.9119
269.094,5.278,81.435,51.435,70.442936,12.0785,15.3549,0.9001
269.098,5.355,81.435,51.435,70.442936,11.9218,15.2408,0.8885
269.102,5.432,81.435,51.435,70.442936,11.7684,15.1286,0.8772
269.106,5.51,81.435,51.435,70.442936,11.6181,15.0183,0.8661
269.11,5.588,81.435,51.435,70.442936,11.471,14.9098,0.8552
269.114,5.666,81.435,51.435,70.442936,11.3269,14.8032,0.8445
269.118,5.745,81.435,51.435,70.442936,11.1856,14.6982,0.8341
269.122,5.824,81.435,51.435,70.442936,11.0472,14.5949,0.8238
269.126,5.903,81.435,51.435,70.442936,10.9116,14.4932,0.8138
269.131,5.983,81.435,51.435,70.442936,10.7785,14.3931,0.8039
269.135,6.063,81.435,51.435,70.442936,10.6481,14.2945,0.7942
269.139,6.143,81.435,51.435,70.442936,10.5202,14.1973,0.7847
269.143,6.224,81.435,51.435,70.442936,10.3948,14.1015,0.7754
269.147,6.305,81.435,51.435,70.442936,10.2717,14.0071,0.7663
269.151,6.386,81.435,51.435,70.442936,10.1509,13.9141,0.7573
269.156,6.468,81.435,51.435,70.442936,10.0324,13.8223,0.7485
269.16,6.55,81.435,51.435,70.442936,9.916,13.7317,0.7398
269.164,6.632,81.435,51.435,70.442936,9.8018,13.6423,0.7313
269.168,6.715,81.435,51.435,70.442936,9.6896,13.5541,0.723
269.173,6.798,81.435,51.435,70.442936,9.5795,13.467,0.7148
269.177,6.882,81.435,51.435,70.442936,9.4713,13.3809,0.7067
269.181,6.965,81.435,51.435,70.442936,9.365,13.2959,0.6988
269.185,7.05,81.435,51.435,70.442936,9.2606,13.212,0.6911
269.19,7.134,81.435,51.435,70.442936,9.158,13.129,0.6834
269.194,7.219,81.435,51.435,70.442936,9.0572,13.0469,0.6759
269.198,7.305,81.435,51.435,70.442936,8.958,12.9658,0.6685
269.203,7.39,81.435,51.435,70.442936,8.8606,12.8855,0.6612
269.207,7.476,81.435,51.435,70.442936,8.7648,12.8061,0.6541
269.212,7.563,81.435,51.435,70.442936,8.6706,12.7276,0.6471
269.216,7.65,81.435,51.435,70.442936,8.5779,12.6498,0.6402
269.22,7.737,81.435,51.435,70.442936,8.4868,12.5728,0.6334
269.225,7.825,81.435,51.435,70.442936,8.3971,12.4965,0.6267
269.229,7.913,81.435,51.435,70.442936,8.3089,12.421,0.6201
269.234,8.001,81.435,51.435,70.442936,8.2221,12.3462,0.6136
269.238,8.09,81.435,51.435,70.442936,8.1367,12.272,0.6073
269.243,8.18,81.435,51.435,70.442936,8.0526,12.1985,0.601
269.247,8.27,81.435,51.435,70.442936,7.9698,12.1256,0.5948
269.252,8.36,81.435,51.435,70.442936,7.8883,12.0533,0.5887
269.256,8.45,81.435,51.435,70.442936,7.8081,11.9816,0.5827
269.261,8.542,81.435,51.435,70.442936,7.7291,11.9104,0.5768
269.266,8.633,81.435,51.435,70.442936,7.6512,11.8398,0.571
269.27,8.725,81.435,51.435,70.442936,7.5746,11.7697,0.5653
269.275,8.818,81.435,51.435,70.442936,7.4991,11.7001,0.5597
269.28,8.911,81.435,51.435,70.442936,7.4247,11.631,0.5541
269.284,9.004,81.435,51.435,70.442936,7.3513,11.5623,0.5487
269.289,9.098,81.435,51.435,70.442936,7.2791,11.4941,0.5433
269.294,9.192,81.435,51.435,70.442936,7.2079,11.4263,0.5379
269.298,9.287,81.435,51.435,70.442936,7.1377,11.359,0.5327
269.303,9.382,81.435,51.435,70.442936,7.0685,11.292,0.5275
269.308,9.478,81.435,51.435,70.442936,7.0003,11.2254,0.5224
269.313,9.574,81.435,51.435,70.442936,6.9331,11.1591,0.5174
269.318,9.671,81.435,51.435,70.442936,6.8668,11.0932,0.5125
269.322,9.769,81.435,51.435,70.442936,6.8014,11.0276,0.5076
269.327,9.866,81.435,51.435,70.442936,6.7369,10.9623,0.5028
269.332,9.965,81.435,51.435,70.442936,6.6733,10.8973,0.498
269.337,10.064,81.435,51.435,70.442936,6.6105,10.8326,0.4933
269.342,10.163,81.435,51.435,70.442936,6.5486,10.7682,0.4887
269.347,10.263,81.435,51.435,70.442936,6.4875,10.704,0.4841
269.352,10.364,81.435,51.435,70.442936,6.4272,10.6401,0.4796
269.357,10.465,81.435,51.435,70.442936,6.3677,10.5764,0.4752
269.362,10.566,81.435,51.435,70.442936,6.309,10.5129,0.4708
269.367,10.668,81.435,51.435,70.442936,6.251,10.4496,0.4665
269.372,10.771,81.435,51.435,70.442936,6.1938,10.3865,0.4622
269.377,10.875,81.435,51.435,70.442936,6.1373,10.3235,0.458
269.382,10.978,81.435,51.435,70.442936,6.0816,10.2607,0.4538
269.388,11.083,81.435,51.435,70.442936,6.0265,10.1981,0.4497
269.393,11.188,81.435,51.435,70.442936,5.9721,10.1356,0.4457
269.398,11.294,81.435,51.435,70.442936,5.9184,10.0733,0.4416
269.403,11.4,81.435,51.435,70.442936,5.8654,10.011,0.4377
269.408,11.507,81.435,51.435,70.442936,5.813,9.9489,0.4338
269.414,11.615,81.435,51.435,70.442936,5.7613,9.8868,0.4299
269.419,11.723,81.435,51.435,70.442936,5.7101,9.8249,0.4261
269.424,11.832,81.435,51.435,70.442936,5.6596,9.763,0.4223
269.43,11.941,81.435,51.435,70.442936,5.6097,9.7012,0.4186
269.435,12.051,81.435,51.435,70.442936,5.5604,9.6394,0.4149
269.441,12.162,81.435,51.435,70.442936,5.5117,9.5777,0.4113
269.446,12.273,81.435,51.435,70.442936,5.4635,9.516,0.4077
269.451,12.386,81.435,51.435,70.442936,5.4159,9.4543,0.4041
269.457,12.498,81.435,51.435,70.442936,5.3688,9.3926,0.4006
269.463,12.612,81.435,51.435,70.442936,5.3223,9.331,0.3971
269.468,12.726,81.435,51.435,70.442936,5.2763,9.2693,0.3937
269.474,12.841,81.435,51.435,70.442936,5.2309,9.2077,0.3903
269.479,12.957,81.435,51.435,70.442936,5.1859,9.146,0.3869
269.485,13.073,81.435,51.435,70.442936,5.1415,9.0843,0.3836
269.491,13.19,81.435,51.435,70.442936,5.0975,9.0225,0.3803
269.496,13.308,81.435,51.435,70.442936,5.054,8.9607,0.3771
269.502,13.427,81.435,51.435,70.442936,5.011,8.8989,0.3739
269.508,13.546,81.435,51.435,70.442936,4.9685,8.837,0.3707
269.514,13.667,81.435,51.435,70.442936,4.9264,8.775,0.3676
269.52,13.788,81.435,51.435,70.442936,4.8848,8.7129,0.3645
269.526,13.909,81.435,51.435,70.442936,4.8436,8.6508,0.3614
269.532,14.032,81.435,51.435,70.442936,4.8029,8.5886,0.3583
269.538,14.155,81.435,51.435,70.442936,4.7626,8.5263,0.3553
269.544,14.28,81.435,51.435,70.442936,4.7227,8.4639,0.3523
269.55,14.405,81.435,51.435,70.442936,4.6832,8.4013,0.3494
269.556,14.531,81.435,51.435,70.442936,4.6442,8.3387,0.3465
269.562,14.657,81.435,51.435,70.442936,4.6055,8.2759,0.3436
269.568,14.785,81.435,51.435,70.442936,4.5672,8.213,0.3407
269.574,14.914,81.435,51.435,70.442936,4.5294,8.15,0.3379
269.581,15.043,81.435,51.435,70.442936,4.4919,8.0868,0.3351
269.587,15.174,81.435,51.435,70.442936,4.4548,8.0235,0.3323
269.593,15.305,81.435,51.435,70.442936,4.418,7.9601,0.3296
269.6,15.437,81.435,51.435,70.442936,4.3817,7.8965,0.3269
269.606,15.57,81.435,51.435,70.442936,4.3456,7.8327,0.3242
269.612,15.704,81.435,51.435,70.442936,4.31,7.7688,0.3215
269.619,15.839,81.435,51.435,70.442936,4.2747,7.7047,0.3189
269.626,15.975,81.435,51.435,70.442936,4.2397,7.6404,0.3163
269.632,16.112,81.435,51.435,70.442936,4.2051,7.576,0.3137
269.639,16.251,81.435,51.435,70.442936,4.1708,7.5048,0.3111
269.646,16.39,81.435,51.435,70.442936,4.1368,7.4261,0.3086
269.652,16.53,81.435,51.435,70.442936,4.1031,7.3476,0.3061
269.659,16.671,81.435,51.435,70.442936,4.0698,7.2691,0.3036
269.666,16.813,81.435,51.435,70.442936,4.0368,7.1908,0.3011
269.673,16.956,81.435,51.435,70.442936,4.0041,7.1126,0.2987
269.68,17.101,81.435,51.435,70.442936,3.9717,7.0345,0.2963
269.687,17.246,81.435,51.435,70.442936,3.9396,6.9565,0.2939
269.694,17.393,81.435,51.435,70.442936,3.9078,6.8786,0.2915
269.701,17.541,81.435,51.435,70.442936,3.8762,6.8009,0.2892
269.708,17.69,81.435,51.435,70.442936,3.845,6.7232,0.2868
269.715,17.84,81.435,51.435,70.442936,3.814,6.6456,0.2845
269.723,17.991,81.435,51.435,70.442936,3.7834,6.5681,0.2822
269.73,18.144,81.435,51.435,70.442936,3.753,6.4907,0.2799
269.738,18.297,81.435,51.435,70.442936,3.7228,6.4134,0.2777
269.745,18.452,81.435,51.435,70.442936,3.693,6.3362,0.2755
269.753,18.608,81.435,51.435,70.442936,3.6634,6.2591,0.2733
269.76,18.766,81.435,51.435,70.442936,3.634,6.182,0.2711
269.768,18.925,81.435,51.435,70.442936,3.605,6.1051,0.2689
269.776,19.085,81.435,51.435,70.442936,3.5761,6.0282,0.2667
269.783,19.246,81.435,51.435,70.442936,3.5475,5.9514,0.2646
269.791,19.409,81.435,51.435,70.442936,3.5192,5.8748,0.2625
269.799,19.573,81.435,51.435,70.442936,3.4911,5.7982,0.2604
269.807,19.739,81.435,51.435,70.442936,3.4633,5.7217,0.2583
269.815,19.906,81.435,51.435,70.442936,3.4356,5.6453,0.2563
269.823,20.074,81.435,51.435,70.442936,3.4083,5.569,0.2542
269.832,20.244,81.435,51.435,70.442936,3.3811,5.4928,0.2522
269.84,20.415,81.435,51.435,70.442936,3.3542,5.4167,0.2502
269.848,20.588,81.435,51.435,70.442936,3.3275,5.3407,0.2482
269.857,20.762,81.435,51.435,70.442936,3.301,5.2648,0.2462
269.865,20.938,81.435,51.435,70.442936,3.2747,5.189,0.2443
269.874,21.115,81.435,51.435,70.442936,3.2487,5.1134,0.2423
269.883,21.294,81.435,51.435,70.442936,3.2229,5.0379,0.2404
269.891,21.475,81.435,51.435,70.442936,3.1972,4.9625,0.2385
269.9,21.657,81.435,51.435,70.442936,3.1718,4.8872,0.2366
269.909,21.841,81.435,51.435,70.442936,3.1466,4.8121,0.2347
269.918,22.026,81.435,51.435,70.442936,3.1216,4.7372,0.2328
269.927,22.213,81.435,51.435,70.442936,3.0968,4.6624,0.231
269.937,22.402,81.435,51.435,70.442936,3.0722,4.5878,0.2291
269.946,22.593,81.435,51.435,70.442936,3.0478,4.5133,0.2273
269.956,22.786,81.435,51.435,70.442936,3.0236,4.4391,0.2255
269.965,22.98,81.435,51.435,70.442936,2.9995,4.365,0.2237
269.975,23.176,81.435,51.435,70.442936,2.9757,4.2911,0.2219
269.984,23.374,81.435,51.435,70.442936,2.9521,4.2175,0.2202
269.994,23.574,81.435,51.435,70.442936,2.9286,4.144,0.2184
270.004,23.776,81.435,51.435,70.442936,2.9053,4.0708,0.2167
270.014,23.98,81.435,51.435,70.442936,2.8822,3.9979,0.215
270.025,24.185,81.435,51.435,70.442936,2.8593,3.9252,0.2133
270.035,24.393,81.435,51.435,70.442936,2.8366,3.8527,0.2116
270.045,24.603,81.435,51.435,70.442936,2.814,3.7806,0.2099
270.056,24.815,81.435,51.435,70.442936,2.7916,3.7087,0.2082
270.067,25.029,81.435,51.435,70.442936,2.7694,3.631,0.2065
270.077,25.245,81.435,51.435,70.442936,2.7474,3.6058,0.2049
270.088,25.464,81.435,51.435,70.442936,2.7255,3.5808,0.2033
270.099,25.684,81.435,51.435,70.442936,2.7038,3.556,0.2016
270.111,25.907,81.435,51.435,70.442936,2.6822,3.5315,0.2
270.122,26.132,81.435,51.435,70.442936,2.6609,3.5071,0.1984
270.134,26.359,81.435,51.435,70.442936,2.6396,3.4829,0.1969
270.145,26.589,81.435,51.435,70.442936,2.6186,3.459,0.1953
270.157,26.821,81.435,51.435,70.442936,2.5977,3.4352,0.1937
